#Drug	Gene	DrugBankID	SMILES
DB02250	P61626	DB02250	C(C1=CC=C(C[N@+]23CC[N@@]4CCC[N@]5CC[N@](CCC2)[Cu@@]345)C=C1)[N@+]12CC[N@@]3CCC[N@]4CC[N@](CCC1)[Cu@@]234
DB05260	P31350	DB05260	NaN
DB00820	P08684	DB00820	[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1
DB05280	P35462	DB05280	NaN
DB03152	P08100	DB03152	[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC
DB07428	P68871	DB07428	NaN
DB00477	P17405	DB00477	NaN
DB00721	Q15822	DB00721	NaN
DB01156	P11712	DB01156	CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1
DB05390	P41231	DB05390	NaN
DB01454	P31645	DB01454	NaN
DB00744	P08684	DB00744	CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1
DB00108	P02745	DB00108	NaN
DB01424	P10632	DB01424	NaN
DB04216	P06576	DB04216	OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1
DB01224	P35462	DB01224	OCCOCCN1CCN(CC1)C1=NC2=CC=CC=C2SC2=CC=CC=C12
DB00112	P31995	DB00112	NaN
DB01365	P35368	DB01365	NaN
DB00200	P22033	DB00200	NaN
DB00696	P25100	DB00696	[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O
DB04922	Q9NY47	DB04922	NaN
DB07494	Q494W8	DB07494	NaN
DB08385	O00519	DB08385	OC(=O)N1CCC(CC2=CN=C3C=CC=CC3=C2)CC1
DB07020	P45984	DB07020	O=C(NC1=CC(=CC=C1)C1=NNC2=CC=C(C=C12)C1=NNC=N1)C1=CC=CO1
DB03758	Q15120	DB03758	[H][C@@]12CCCCC(=O)C[C@@]3([H])[C@]([H])(Cl)C(=O)CC(=O)[C@@]3([H])C(=O)O[C@]([H])(C)C[C@@]1([H])O2
DB06147	P11511	DB06147	NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1
DB01095	P10635	DB01095	CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1
DB00114	P34896	DB00114	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB00439	P08684	DB00439	COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C
DB05096	Q14832	DB05096	NaN
DB06637	Q9UK17	DB06637	NC1=CC=NC=C1
DB01085	P08172	DB01085	NaN
DB03179	Q86VU5	DB03179	COC1=CC(\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@@]2(O)C(C)(C)[C@H]2O[P@@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@@H](O)[C@@H]2OP(O)(O)=O)N2C=NC3=C(N)N=CN=C23)=CC(OC)=C1O
DB06678	P28335	DB06678	NaN
DB03088	P15692	DB03088	OC(=O)[C@H]1CCC(=O)N1
DB03757	Q9UNI1	DB03757	C[C@H](NC(=O)[C@@H](C)NC(=O)OC(C)(C)C)C(N)=O
DB00854	P35372	DB00854	[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
DB00338	P33261	DB00338	COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C
DB08697	P00749	DB08697	CC1=CC(=CC(C)=C1OCCN)C(=O)NC1=CC(Cl)=CC(=C1)N1CCCCC1
DB00458	P23975	DB00458	NaN
DB00945	Q04828	DB00945	CC(=O)OC1=CC=CC=C1C(O)=O
DB03033	P08254	DB03033	COC1=CC=C(C=C1)S(=O)=O
DB00812	P35354	DB00812	NaN
DB06871	P03372	DB06871	[H][C@@]12CC[C@@](C)(O)[C@@]1(C)CCC1=C2C=CC2=CC(O)=CC=C12
DB07934	P00734	DB07934	[H][C@](CCNC1=CC=[NH+]C=C1)(NC(=O)CNS(=O)(=O)C1CCCCC1)C(=O)N1CCCCC1
DB00622	P20813	DB00622	NaN
DB02726	P14618	DB02726	NaN
DB00182	P08588	DB00182	NaN
DB00613	P10632	DB00613	CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
DB00934	P18089	DB00934	NaN
DB06605	P11712	DB06605	COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O
DB07374	P61313	DB07374	[H][C@]1(O)CN[C@]([H])(CC2=CC=C(OC)C=C2)[C@]1([H])OC(C)=O
DB00169	P11473	DB00169	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00575	P18089	DB00575	NaN
DB07347	P04406	DB07347	NaN
DB06016	P08908	DB06016	CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)C2=C(Cl)C(Cl)=CC=C2)CC1
DB06866	P00734	DB06866	[H][C@](CCCCC(N)=N)(C(O)=O)[C@@]1([H])C2=C(C[C@]1([H])O)C=C(C=C2)C1=CC(OC)=CC=C1
DB05207	P14778	DB05207	NaN
DB01403	P35462	DB01403	NaN
DB04400	P00439	DB04400	C[C@@H](O)[C@@H](O)C1=NC2=C(NC1)N=C(N)NC2=O
DB06858	P07477	DB06858	[H][C@]1(CCCN1C(=O)CNC1CCCCCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
DB00174	O43776	DB00174	N[C@@H](CC(N)=O)C(O)=O
DB00155	P29475	DB00155	N[C@@H](CCCNC(N)=O)C(O)=O
DB06695	P54855	DB06695	CCCCCCOC(=O)N=C(N)C1=CC=C(NCC2=NC3=C(C=CC(=C3)C(=O)N(CCC(=O)OCC)C3=CC=CC=N3)N2C)C=C1
DB06678	P28223	DB06678	NaN
DB00289	Q12879	DB00289	NaN
DB01324	P55017	DB01324	CN1C(CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
DB06944	P24941	DB06944	O=C(CC1=CC2=C(C=CC=C2)C=C1)NC1=CC(=NN1)C1CC1
DB00114	Q9NVS9	DB00114	CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
DB00157	O75306	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00655	P08684	DB00655	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
DB05424	P00533	DB05424	FC1=C(Cl)C=C(NC2=NC=NC3=CC(OCCCN4CCOCC4)=C(NC(=O)C=C)C=C23)C=C1
DB01026	P10632	DB01026	NaN
DB01695	P60174	DB01695	ONC(=O)CCCP([O-])([O-])=O
DB00852	P07550	DB00852	CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DB00143	Q03013	DB00143	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
DB00594	P19801	DB00594	NC(N)=NC(=O)C1=C(N)N=C(N)C(Cl)=N1
DB07680	P23946	DB07680	[H][C@@](C(=O)NC1=CC=C2C=CC=CC2=C1)(C1=CSC2=C1C=C(Cl)C=C2)P(O)(O)=O
DB00157	O95182	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB07388	P29474	DB07388	NaN
DB00670	P11229	DB00670	CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1
DB01102	P13945	DB01102	O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1
DB01207	P21731	DB01207	OC(=O)CCCCO\N=C(\C1=CN=CC=C1)C1=CC(=CC=C1)C(F)(F)F
DB00126	P19021	DB00126	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
DB08846	P05771	DB08846	OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2
DB00734	P35367	DB00734	NaN
DB00824	Q07343	DB00824	CCCN1C2=C(NC=N2)C(=O)NC1=O
DB00683	P20815	DB00683	NaN
DB01954	Q08499	DB01954	[H][C@]1(CNC(=O)C1)C1=CC(OC2CCCC2)=C(OC)C=C1
DB00661	O00305	DB00661	NaN
DB04841	P11712	DB04841	NaN
DB00268	P28221	DB00268	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
DB00659	Q14957	DB00659	CC(=O)NCCCS(O)(=O)=O
DB03760	Q15120	DB03760	[H][C@](S)(CCS)CCCCC(O)=O
DB09026	P00797	DB09026	COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1
DB01708	O75469	DB01708	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@]([H])(O)CC[C@]12C
DB06216	P35367	DB06216	NaN
DB01049	P78334	DB01049	NaN
DB00849	P34903	DB00849	NaN
DB01018	P18089	DB01018	NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl
DB07390	P08254	DB07390	[H][C@@](CC1=CC=CC=C1)(NC(=O)NC1=NN=C(S)S1)C(=O)NC
DB00313	P10632	DB00313	NaN
DB00411	Q15822	DB00411	NaN
DB00086	P25116	DB00086	NaN
DB00200	Q9BXJ7	DB00200	NaN
DB04820	P27338	DB04820	O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1
DB01622	P35348	DB01622	NaN
DB01483	P14867	DB01483	NaN
DB07701	P22303	DB07701	[H][C@@]1(CC2CCN(CC3=CC=CC=C3)CC2)CC2=CC(OC)=C(OC)C=C2C1=O
DB00167	Q9NSE4	DB00167	CC[C@H](C)[C@H](N)C(O)=O
DB00318	P24462	DB00318	[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O
DB07080	O75469	DB07080	OC(C1=CC=C(C=C1)N(CC(F)(F)F)S(=O)(=O)C1=CC=CC=C1)(C(F)(F)F)C(F)(F)F
DB00157	P04035	DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB00889	P20815	DB00889	CN1N=C(C(=O)NC2CC3CCCC(C2)N3C)C2=CC=CC=C12
DB09053	P08684	DB09053	NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1
DB06069	P11387	DB06069	NaN
DB00543	P18825	DB00543	NaN
DB07427	P69905	DB07427	NaN
DB00830	Q01959	DB00830	NaN
DB00598	P08588	DB00598	CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1
DB04395	P06239	DB04395	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)NP(O)(O)=O)[C@H](O)[C@H]1O
DB01049	P46098	DB01049	NaN
DB02494	P62829	DB02494	[H][C@](O)(CC1=CC=CC=C1)C(O)=O
DB04574	P05177	DB04574	C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O
DB02264	P05230	DB02264	O[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1OS(O)(=O)=O)C(O)=O
DB00825	Q8NET8	DB00825	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
DB01620	P35367	DB01620	NaN
DB04006	P24941	DB04006	NC1=C(N2C=C(C=CC2=N1)C(=O)C1=C(F)C=CC=C1F)C(=O)C1=CC=CC=C1
DB06844	P20248	DB06844	O=C1N=C2C=CC3=C(SC=N3)C2=C1CNC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1
DB00408	P08912	DB00408	NaN
DB01029	P10632	DB01029	CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
DB01024	P22309	DB01024	COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
DB01122	P22303	DB01122	CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
DB04836	P23975	DB04836	[Cl-].OC(=O)CCCCCC[NH2+]C1C2=CC=CC=C2CCC2=CC=CC=C12
DB03130	Q04760	DB03130	N[C@@H](CCC(=O)N[C@H](CS[C@H](O)OCC1=CC=C(C=C1)[N+]([O-])=O)C(=O)NCC(O)=O)C(O)=O
DB06216	P18825	DB06216	NaN
DB07621	P11509	DB07621	NaN
DB00197	P54855	DB00197	CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB03101	P00491	DB03101	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O
DB03461	P11413	DB03461	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@@H](CO[P@]([O-])(=O)O[P@@](O)(=O)OC[C@@H]2O[C@H]([C@H](OP(O)(O)=O)[C@H]2O)N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1O
DB01151	P18089	DB01151	NaN
DB06616	P08684	DB06616	COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl
DB06931	O95749	DB06931	CCCCCCCCC(O)(P(O)(O)=O)P(O)(O)=O
DB04234	P43235	DB04234	[H][C@@](CCCC)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OCC1=CC=C(Br)C=C1)C=O
DB01011	P15538	DB01011	NaN
DB00075	P02747	DB00075	NaN
DB01548	O60858	DB01548	[H][C@]12CC3=C4C(OC5[C@@]4(CCN1CC1CC1)[C@@]21CCC5(OC)C(C1)C(C)(C)O)=C(O)C=C3
DB07167	P07333	DB07167	CC1CCN(CC1)C1=CC=C(CO)C=C1NC(=O)C1=CC=C(O1)C#N
DB04604	Q8TF76	DB04604	[H][C@]1(CO)O[C@@]([H])(N2C=C(I)C3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB00540	P28223	DB00540	NaN
DB07344	Q8IVS2	DB07344	CCOCCOCCOCCOCCOCCO
DB02796	P00491	DB02796	OC[C@@H]1O[C@H]([C@H](O)[C@H]1O)c1cnc2c1N=CNC2=O
DB01424	P24462	DB01424	NaN
DB04369	P35030	DB04369	OB1OCCO1
DB05290	P25101	DB05290	NaN
DB08354	P68400	DB08354	ClC1=CC=C(CNC2=NC3=C(C=NN3C(NC3=CC=CC=C3)=N2)C#N)C=C1
DB04855	O95069	DB04855	CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
